#                      B                        I                        T                        M
9.245197658869867041e+01 4.931247511720241761e+01 7.009003557616301805e+01 1.000000000000000000e+00
5.118979091820094141e+00 1.768654838419550401e+01 6.185152504644209870e+01 5.799999999999999600e-01
8.620595278298898734e+01 7.799311529544974064e+01 7.564106448047868980e+01 1.000000000000000000e+00
7.169787651828667663e+01 7.443599277207324860e+01 2.914141962659537910e+01 1.000000000000000000e+00
9.289200910109171616e+01 3.773876982358347476e+01 6.559473099006324048e+01 1.000000000000000000e+00
7.934399829069852217e+01 9.910432856367309284e+01 9.703482444528246731e+01 1.000000000000000000e+00
1.392446146117958961e+01 7.173989218925098044e+01 6.317100163668253288e+01 1.000000000000000000e+00
6.503657657079116916e+01 4.929503551900127434e+01 1.169959231045822889e+01 1.000000000000000000e+00
7.319643543783261919e+01 3.404503118851280874e+00 6.256864667705509220e+01 8.800000000000000044e-01
1.217380650975627532e+01 6.118500694714265364e+01 7.939152561758405113e+01 1.000000000000000000e+00
4.517669696194679574e+01 1.537854549224178413e+01 1.141827018360702084e+01 1.000000000000000000e+00
5.496299342061880822e+01 6.387397295026035238e+01 7.014246867806889441e+01 1.000000000000000000e+00
4.309431778215596864e+00 9.904127897270186054e+00 2.811862887234410380e+01 8.299999999999999600e-01
9.213375505012282929e+01 8.135203688198892280e+01 8.089088756888671128e+01 1.000000000000000000e+00
4.519999522478510556e+01 8.796210169023380843e+01 7.442278426311341377e+01 1.000000000000000000e+00
1.567316690575101745e+01 9.808245280939358679e+01 3.410672629824176738e+00 1.000000000000000000e+00
7.710617403066052589e+01 6.331517553865745640e+01 3.965148826439306617e+01 1.000000000000000000e+00
1.016203079738670567e+01 4.232460589955110208e+00 5.910147285129843908e+01 2.300000000000000100e-01
3.230222154467780626e+01 9.962431052722308777e+00 3.378312233422575162e+01 9.799999999999999822e-01
2.618296270276346149e+01 9.692701883791590944e+01 6.833971799566626260e+01 1.000000000000000000e+00
2.320715885368173304e+00 9.330274123508034734e+01 1.891772090253991223e+01 1.000000000000000000e+00
9.290131274629538893e+01 1.444519961669863051e+01 2.576669545045589871e+00 1.000000000000000000e+00
7.625705008766504989e+01 7.658177322979089752e+01 9.145739616916932846e+01 1.000000000000000000e+00
5.013167302874774833e+01 2.822555375318097504e+01 2.571150030558131050e+01 1.000000000000000000e+00
2.012149280362928039e+01 8.236155863522802179e+01 4.310035255616374883e+01 1.000000000000000000e+00
5.389846105807125554e+01 1.781842855089942645e+01 1.363608513568371450e+01 1.000000000000000000e+00
1.726870281439072130e+01 5.415180313677028323e+01 6.496750038258583970e+01 1.000000000000000000e+00
8.749266666455810082e+01 3.698381983493932523e+01 5.189496177441270675e+01 1.000000000000000000e+00
1.200897647032267912e+01 5.813284954330109855e+01 3.506538287484379168e+01 1.000000000000000000e+00
8.514115007561501614e+01 8.532064184034055643e+00 9.332239890477605115e+01 8.549999999999999822e-01
3.490401244284166182e+01 6.446947618384706402e+01 2.135269904783427819e+00 1.000000000000000000e+00
1.146215572356454970e+01 4.072166672198599713e+01 6.233654532276030835e+01 9.799999999999999822e-01
7.549693951491853738e+01 9.382744754606156334e+01 8.702791832365016944e+01 1.000000000000000000e+00
7.731634173509499419e+01 7.571342887300576763e+01 1.347637081327852115e+01 1.000000000000000000e+00
5.066612051289640561e+01 7.306333794614488397e+00 4.366929974218770383e+01 9.649999999999999689e-01
6.046714597015277093e+01 2.240723711181954059e+01 1.020226981244296383e+01 1.000000000000000000e+00
4.849213876424536096e+01 7.996961009755239047e-01 5.115949291867253379e+01 8.000000000000000444e-01
3.301627589225893189e+01 9.666644822137749316e+01 8.870158984364792332e+01 1.000000000000000000e+00
4.050368296553224923e+01 4.393366273977933645e+01 8.874121136461154435e+01 9.899999999999999911e-01
1.614031044070335952e+01 1.429085999267144302e+01 8.260336489953044747e+01 3.449999999999999734e-01
3.416805801638560069e+00 3.686389086812684468e+01 8.079938176961420027e+01 8.800000000000000044e-01
8.495394385933367687e+01 1.290797273144494284e+01 6.375593582608560439e+01 9.799999999999999822e-01
8.499344303550118696e+01 4.512911940795522980e+01 2.487327945807862761e+00 1.000000000000000000e+00
9.805753748474583631e+01 3.304204850594402387e+00 6.632101064061036766e+01 9.549999999999999600e-01
3.223475950251906852e+01 5.122974614561625373e+01 2.046903813537340966e+01 1.000000000000000000e+00
6.647117106297375244e+01 9.132138880091225985e+01 4.196696059584883187e+01 1.000000000000000000e+00
9.853313298729048597e+01 9.198947209892926935e+01 6.533564820336607681e+00 1.000000000000000000e+00
2.864510814590136079e+01 5.411119747005563596e+01 1.620314716246332409e+01 1.000000000000000000e+00
5.090662275317967556e+01 5.326246413089990028e+01 3.895270964006824244e+01 1.000000000000000000e+00
1.391806826852489110e+01 4.247887831597812891e+01 8.667584720828330092e+00 1.000000000000000000e+00
5.913548988614532220e+01 7.337681432511551805e+01 7.496580241421563073e+01 1.000000000000000000e+00
6.612269946561072231e+01 4.523358241555726522e+00 8.099106645396628323e+01 8.100000000000000533e-01
1.858763819352262203e+00 9.847037556770031586e+01 8.369892375877066115e+01 5.050000000000000044e-01
3.001537290774788858e+01 8.638257231233498601e+01 6.837051508190074856e+01 1.000000000000000000e+00
7.469126295340994659e+01 8.864852812550677186e+01 5.882161208867419333e+01 1.000000000000000000e+00
8.326014070969537784e+01 3.313099881199335073e+01 9.390986662154301712e+01 9.599999999999999645e-01
6.859706984552410347e+01 3.432589671650639218e+01 4.946229014599754237e+01 1.000000000000000000e+00
8.560157023525363229e-01 3.966520256740287209e+01 6.034998521919902714e+00 1.000000000000000000e+00
1.617870818669310040e+01 5.502189036445334125e+01 2.099719838646984726e+01 1.000000000000000000e+00
5.595659438073457181e+01 1.757152823166393318e+01 6.471342764919987189e+01 9.599999999999999645e-01
4.185966805816032377e+01 5.029295357357050733e+01 4.130047999757763932e+00 1.000000000000000000e+00
7.678205236086486707e+01 1.623018507484148643e+01 7.904364415240286235e+01 9.250000000000000444e-01
8.854538233226685406e+01 2.305521198131089022e+00 8.738216208189122369e+01 8.199999999999999512e-01
6.195946088498885729e+00 9.346273861899693713e+01 7.829058642647336796e+01 1.000000000000000000e+00
3.783493221252637539e+01 4.852136402726173969e+00 6.025386678042789868e+01 6.850000000000000533e-01
9.731656331475740274e+01 6.627003470380837769e+01 5.134936452066821744e+01 1.000000000000000000e+00
9.111761274955830459e+01 6.510148497276520629e+01 7.953109903738209141e+00 1.000000000000000000e+00
6.540204640696742899e+01 5.239969062821259627e+00 8.233441588408332734e+01 6.850000000000000533e-01
5.405970652765951456e+01 9.124230606023704127e+01 9.598877719631843775e+00 1.000000000000000000e+00
3.798938892612142837e+01 3.862917437591645609e+01 1.943609266858857154e+01 1.000000000000000000e+00
8.994431545928883054e+01 5.406732225916684342e+00 6.272920536283243820e+01 9.150000000000000355e-01
2.198288866763867588e+01 8.978496117483999228e+01 9.167234896507812891e+01 1.000000000000000000e+00
3.889099582145551182e+01 1.284568890319785339e+01 1.763424373322948213e+00 1.000000000000000000e+00
8.457827106786155014e+01 7.368538107461014874e+01 9.663610284156007424e+01 1.000000000000000000e+00
