#                      B                        I                        T                        M
5.432876155917089989e+01 3.784013603994795716e+01 6.975599207472311036e+01 9.949999999999999956e-01
7.408836047194843388e+01 7.348930235230744756e+01 2.974329727840598707e+02 6.099999999999999867e-01
2.450357063196209140e+01 4.429883119126159841e+01 1.377580369410627554e+02 7.650000000000000133e-01
1.774605880936938718e+01 3.227998179366852582e+01 4.263827722015177528e+02 5.500000000000000028e-02
6.787698884210070105e+01 4.798405719712715012e+01 3.605218275470360823e+02 3.300000000000000155e-01
8.023385094710525323e+01 7.833142196295383997e+01 2.438772213676380147e+02 8.549999999999999822e-01
2.035637860261374499e+00 6.533150468120498999e+01 4.740562473981146354e+02 1.499999999999999944e-02
5.251767605675453865e+01 2.947682012568506593e+01 4.703904012899508302e+02 1.000000000000000056e-01
7.589738346830021953e+01 4.943654352020009668e+01 3.676240504420029538e+02 4.050000000000000266e-01
9.444061363679064414e+01 9.631825483990304804e+01 4.798140773727084820e+02 4.949999999999999956e-01
4.585377833416401927e-01 4.535818965319587903e+01 2.128311347787724230e+02 7.499999999999999722e-02
9.501477522616023919e+01 4.424938862201926781e+00 1.679480921030372542e+02 5.999999999999999778e-01
7.753859881843547441e+01 9.327401121635973880e+01 2.195968934029780826e+02 9.449999999999999512e-01
3.374168161329093607e+01 8.998666799778274594e+01 5.745085190808333664e+01 1.000000000000000000e+00
7.510557305253206550e+01 9.468078112841676841e+01 7.568603130706298998e+01 1.000000000000000000e+00
6.137534300805616994e+01 7.740008835371305906e+01 7.278323700151014464e+01 1.000000000000000000e+00
4.624975726642885121e+01 3.113297565234049102e+01 3.868249229027626370e+02 1.000000000000000056e-01
7.176819415731759477e+01 5.346752464166650043e+01 2.556435538690033127e+01 1.000000000000000000e+00
1.563734189154210696e+01 1.536084307408249572e+01 5.142249871989025678e+01 8.549999999999999822e-01
6.037201465098517161e+01 7.009812553655932277e+01 3.234605644841810772e+02 4.450000000000000067e-01
4.833611451546359916e+01 2.731536307282269149e+00 1.625081602861183683e+02 3.200000000000000067e-01
1.337208670819968859e+01 8.133978042644804418e+01 9.965810562699925867e+01 9.949999999999999956e-01
7.270959628573069722e+01 9.632962215495061287e+01 3.900502202143054546e+02 4.600000000000000200e-01
7.988764581035196954e+01 1.117938594575335287e+00 4.655824358999958577e+02 2.550000000000000044e-01
8.927638811992278534e+01 5.503061576116158449e+01 4.764062067531699540e+01 1.000000000000000000e+00
6.732966244135678835e+01 2.341946336581513322e+01 4.945758677992447474e+02 1.900000000000000022e-01
