#                      B                        I                        T                        M
4.477845378478855309e+01 5.137418648664012721e+01 3.405057876929853933e+01 1.000000000000000000e+00
7.808762895699979367e+01 4.251950266217284025e+01 3.294908848906855781e+01 1.000000000000000000e+00
2.961231026151813239e+01 7.084905933282979618e+01 5.490969338203911576e+01 1.000000000000000000e+00
2.618999868556358024e+01 1.833832058119054409e+01 4.122955957308950303e+01 9.549999999999999600e-01
6.539548198860398998e+01 8.368687231891377110e+01 9.355305257844497646e+01 9.799999999999999822e-01
6.365678397610258088e+01 7.793306063516494930e+01 8.377359963987053959e+01 1.000000000000000000e+00
5.396745230037177521e+01 1.410273647208747150e+01 1.131103506657362345e+01 1.000000000000000000e+00
3.319471931165836054e+00 4.904521895928399999e+01 5.023487270246418746e+01 9.799999999999999822e-01
9.915585524087006775e+00 9.671678233304552919e+01 9.608394733877192095e+01 1.000000000000000000e+00
6.276334169924373896e+01 1.334280305771855524e+00 7.192847364644643449e+01 7.199999999999999734e-01
2.881837658279088998e+01 7.256925076908932226e+01 2.203612337551034273e+01 1.000000000000000000e+00
5.615003848138712073e+01 5.278180169525293763e+01 8.908092494578481535e+01 9.449999999999999512e-01
6.046668232156466871e+01 1.492419645841555109e+01 4.983511906263194646e+01 9.699999999999999734e-01
3.729683693340446382e+01 4.160426601297557880e+01 6.462042423017399528e+01 9.899999999999999911e-01
6.884089121456298699e+00 6.442038365842515191e+01 7.968928814886186274e+01 9.849999999999999867e-01
3.927121609091204135e+01 6.825853176454786819e+01 5.839016783866740923e+01 1.000000000000000000e+00
2.052908422219623219e+01 8.668816216038162281e+01 4.093014829418982714e+01 1.000000000000000000e+00
1.717897069064660798e+01 1.218917673487011655e+01 6.585670221289444726e+01 4.050000000000000266e-01
7.728120320179215241e+01 1.869041525909564427e+01 5.438285553005684392e+00 1.000000000000000000e+00
8.849489497577893360e+01 3.079299674315441848e+01 2.364260659906366868e+01 1.000000000000000000e+00
5.742044706576368895e+01 1.117656608639798321e+01 6.925748941410574844e+00 1.000000000000000000e+00
1.929276392127736983e+01 2.450949986556538818e+01 7.753497615808539933e+01 6.650000000000000355e-01
4.304501473276602752e+01 8.008697259852542061e+01 3.847887472724551117e+00 1.700000000000000122e-01
1.261834913073521136e+01 3.023238360158633498e+01 8.387395120975261875e+01 5.600000000000000533e-01
7.734317876871575947e+01 4.971370236231380346e+01 6.674472367095961545e+01 9.949999999999999956e-01
1.150297571316792755e+01 6.751173137771513666e+01 1.384225052592974237e+01 1.700000000000000122e-01
2.212725041581236951e+01 3.799049506278402077e+01 9.616293304766161043e+01 7.550000000000000044e-01
9.520326038223460330e+01 8.063418371501120419e+01 2.655357768841000166e+01 1.000000000000000000e+00
6.571634174592597333e+01 4.309518830355539620e+01 5.262748877237327605e+01 1.000000000000000000e+00
5.209995754485026964e+01 7.854024472763397569e+01 3.031353462514188379e+01 1.000000000000000000e+00
2.370168307843627531e+00 3.738772042580262678e+01 1.372548391047310190e+01 4.349999999999999978e-01
7.009443485985167399e+01 3.911570927186394897e+01 2.035620156603049224e+01 1.000000000000000000e+00
1.752763088688219284e+01 3.252610179217889197e+01 1.580369031437525962e+01 1.000000000000000000e+00
4.732723627911181552e+01 9.978883434243599027e+01 8.239272330847484227e+00 1.600000000000000033e-01
3.738159033097221595e+01 6.267955461812574214e+01 4.837632172567634115e+01 1.000000000000000000e+00
7.560363476367659530e+01 6.770399633089468239e+00 6.207335099548143376e+01 9.000000000000000222e-01
1.144956662033831662e+01 2.370693303675513164e+01 7.584144130013655172e+01 3.699999999999999956e-01
2.191239219931915727e+01 2.795690878761705278e+01 9.394974612144679327e+01 5.849999999999999645e-01
3.574834409686904735e+01 8.925395690725727604e+01 7.348517030715807152e+01 1.000000000000000000e+00
9.332179077328177641e+00 9.133557686786294028e+01 2.725421950861002074e+01 7.750000000000000222e-01
8.046758397260632023e+01 2.606379406677180555e+01 2.706937482531468220e+01 1.000000000000000000e+00
8.362557328613419827e+00 3.120468397152330908e+01 7.893570431836843682e+01 3.049999999999999933e-01
2.793683511593897606e+00 8.109950608668336258e+01 6.665786434396989080e+01 9.949999999999999956e-01
8.132750154611822779e+01 4.371425968653809235e+01 1.770808852168465819e+01 1.000000000000000000e+00
3.016016438924819454e+01 8.073066499427361009e+01 1.706603965643874687e+01 2.700000000000000178e-01
9.573569214021091511e+00 5.691632036938094785e+01 6.156990183497583757e+00 1.499999999999999944e-02
7.387879036997219373e+01 3.983149032765892628e+01 6.658591569878369398e+01 1.000000000000000000e+00
5.495856737380255908e+01 1.621885492486954661e+01 7.816364891123089365e+01 8.349999999999999645e-01
1.384262004249708866e+01 4.643408727941051950e+01 1.163993248447030737e+01 7.950000000000000400e-01
1.099559868413768982e+01 3.778166848941813782e+01 7.087818868226960944e+01 8.149999999999999467e-01
3.119289139672116562e+01 7.211627193899447263e+01 9.803554551383550120e+01 9.949999999999999956e-01
6.930886843565684785e+01 5.415312623763044542e+01 8.749989871779665407e+01 9.899999999999999911e-01
8.496139896217911769e+01 5.465849881935582744e+01 2.987549977271552848e+01 1.000000000000000000e+00
8.328105079832266711e+01 6.637406620708681260e+01 5.821011278363165076e+01 1.000000000000000000e+00
2.288944426941107224e+01 2.288492270375449777e+01 4.485979501333028452e+01 9.649999999999999689e-01
3.500120017726212041e+01 9.767891907381115857e+01 2.076170084015637940e+01 4.949999999999999956e-01
1.256035296195355500e+01 6.942958347966131782e+01 3.462160757943451017e+01 1.000000000000000000e+00
4.160271805663951739e+01 5.801405123458496149e+01 6.235482738371725020e+01 1.000000000000000000e+00
8.788929222148198050e+01 2.093455243383579045e+01 2.507243536499771608e+01 1.000000000000000000e+00
6.032899395849843671e+01 3.157886835066587139e+01 6.978683511621358093e+01 9.749999999999999778e-01
9.910188593841353111e+01 5.758169826091108234e+01 8.234247996913059353e+01 9.949999999999999956e-01
5.762822112902443905e+01 7.018613225091570484e+01 5.106096081589967639e+00 9.200000000000000400e-01
3.799479876390407895e+01 6.906779954164562696e+01 4.640456639856672894e+01 1.000000000000000000e+00
9.640269062266722244e+01 4.563759379575097341e+01 2.802176474844775100e+01 1.000000000000000000e+00
4.179928819075244917e+01 3.931032702583746641e+01 4.094716589655156014e+01 1.000000000000000000e+00
6.710971907467310871e+01 7.543435166224365673e+01 9.781890031051327128e+01 9.899999999999999911e-01
6.706746161435665954e+01 3.759572619556195150e+00 8.451213368247397284e+01 7.399999999999999911e-01
7.179421594278377938e+01 3.612014246599741796e+01 1.542775946028200451e+01 1.000000000000000000e+00
2.638314352664301055e+01 5.426971643406939450e+01 4.034847434786595954e+01 1.000000000000000000e+00
6.729434427052632373e+01 7.699633894052279004e+01 7.662265374125706785e+01 1.000000000000000000e+00
8.375414816947895247e+01 6.427557535184416793e+01 1.421563522738445329e+01 1.000000000000000000e+00
9.082726618740601054e+01 3.122048476912875969e+01 9.304451129891052119e+01 9.649999999999999689e-01
3.447352030851136817e+01 3.122479410999477523e+01 2.110626170312804106e+01 1.000000000000000000e+00
