#                      B                        I                        T                        M
3.091457729464692505e+01 1.985165600268578601e+01 8.771940480736117252e+01 6.350000000000000089e-01
2.934938452065757986e+00 4.781804118240972201e+01 2.144058384945965656e+01 9.050000000000000266e-01
1.583348862768171017e+01 4.843485895202805835e+01 1.173844950052796321e+00 1.199999999999999956e-01
9.579720940517447048e+00 7.381727581192487264e+01 4.650145510553284112e+01 1.000000000000000000e+00
5.461811347858392907e+01 8.383522454575546590e+01 7.756620492384486454e+01 1.000000000000000000e+00
5.181118384756909023e+01 2.426093479780419671e+01 9.387917890196500537e+01 7.800000000000000266e-01
5.330261885907309249e+01 8.432630446273438451e+01 3.836048592515950162e+01 1.000000000000000000e+00
9.257230775863739325e+00 3.214288992718968530e+01 8.668692832179219465e+01 3.950000000000000178e-01
4.017326926322071046e+01 9.316368569734713390e+01 2.810022557391883424e+01 1.000000000000000000e+00
1.515627862721130725e+01 5.606542928843457929e+01 1.432708849642952487e+01 5.500000000000000444e-01
5.666944011191430519e+01 9.342102699815771416e+01 8.425809513917515403e+01 1.000000000000000000e+00
1.170737577968311882e+01 7.454438153385501664e+01 6.763396378899099659e+01 1.000000000000000000e+00
3.141516035315266109e+01 4.380710247965306081e+01 3.942787699160324877e+01 9.949999999999999956e-01
8.986518057164623485e+00 3.684991856333388682e+01 7.407079533739894828e+01 7.299999999999999822e-01
2.633364898783587904e+01 5.451817595633774260e+01 4.754628883543242779e+01 1.000000000000000000e+00
5.026025556411589434e+00 7.340793340229475916e+01 3.426718490950463547e+00 3.200000000000000067e-01
3.943713328937310791e+01 4.870086012074592929e+01 7.172207603271499465e+01 9.949999999999999956e-01
2.062290791560588588e+01 2.992497819556422201e+01 6.217707737176114335e+01 9.100000000000000311e-01
2.937284613511031850e+01 7.966235379823660878e+01 9.110819561219446427e+01 9.899999999999999911e-01
3.785410302724281451e+01 7.054556765047099987e+01 6.185354847004290946e+01 1.000000000000000000e+00
4.671342784046079544e+01 3.816519742696933548e+01 8.817172195645039778e+01 9.350000000000000533e-01
5.150051868824557033e+01 4.714428844829907916e+01 3.566426497519786665e+01 1.000000000000000000e+00
5.563005528491048324e+01 4.706592914213133838e+01 1.464274552722775979e+01 1.000000000000000000e+00
5.276856530991078387e+01 6.651308548767030970e+01 9.018890114335820840e+01 1.000000000000000000e+00
6.519800644799907730e+00 5.041796648999731190e+01 8.596697428607524216e+01 6.700000000000000400e-01
2.296523057332717599e+01 3.448326231784105289e+01 7.187166289538664898e+01 8.950000000000000178e-01
5.044599528820700129e+01 1.748294185291339886e+01 6.893884868230188090e+01 8.349999999999999645e-01
2.002804004043576214e+01 3.754899810308085506e+01 6.438336392324882240e+01 9.200000000000000400e-01
2.308461008896237132e+01 5.731286142071291323e+01 4.128178902317745980e+01 1.000000000000000000e+00
1.677092278587423380e+00 9.568819036110008369e+01 4.956187194182138001e+01 1.000000000000000000e+00
2.344390096714832339e+01 9.930649273581816772e+01 4.603169803742265032e+01 1.000000000000000000e+00
7.787651823861835965e+00 2.260928545148361479e+01 7.808138334652478818e+01 2.099999999999999922e-01
3.734470084853803939e+01 5.803194761477669061e+01 3.007885684542668514e+01 1.000000000000000000e+00
9.745526395828527200e+00 3.786341801721030720e+01 9.380197843320713957e+01 5.300000000000000266e-01
3.047956481711727861e+01 9.487039291920589790e+01 9.776051403772495973e+01 1.000000000000000000e+00
4.504129348136570599e+01 9.660561252711546842e+01 1.209400232784979323e+01 3.500000000000000333e-02
4.387931836556725784e+01 9.801857384745379420e+01 1.488395377678584452e+01 6.650000000000000355e-01
2.332215179745856659e+01 1.963387199864956756e+01 9.296802043202083610e+01 4.799999999999999822e-01
4.364405344457675540e+01 8.591586581131863909e+00 7.771426414435916286e+01 5.899999999999999689e-01
4.090195744363185781e+01 1.278127305844498096e+01 3.661591775187894626e+01 9.899999999999999911e-01
2.141538841863324194e+01 4.000798248936139601e+01 9.385425998429374772e+01 8.249999999999999556e-01
2.994393054427300171e+01 8.413336340378469913e+01 7.788647316454495240e+01 1.000000000000000000e+00
1.292099138369597000e+01 9.488675628959427399e+00 4.413720361936213266e+01 5.450000000000000400e-01
1.254148847898208885e+01 7.028625105973029008e+01 8.144079610388565982e+01 9.949999999999999956e-01
3.752899006095788081e+01 9.985011839215351870e+01 1.075548586679714447e+01 1.150000000000000050e-01
2.488504486879366340e+01 1.641366778373992474e+01 7.534697440937397062e+01 6.099999999999999867e-01
3.724618725831459187e+01 6.027506949932380564e+01 9.017871549041657886e+00 9.499999999999999556e-01
6.589712786766867225e+00 4.738142832710317265e+01 2.667912189451759275e+01 1.000000000000000000e+00
1.419194401884377044e+01 1.342744064872262300e+01 2.847643798586919672e+01 9.000000000000000222e-01
3.974396681282040333e+01 8.490170514280076475e+01 8.268310092186706584e+01 1.000000000000000000e+00
1.310568485600287403e+01 7.032873179911874217e+01 2.067674813523464650e+01 2.700000000000000178e-01
4.617783379230748864e+01 8.305393724696858726e+01 3.485555231516096342e+01 1.000000000000000000e+00
2.163066727557181679e+01 1.124996635112454157e+01 6.665731953425490985e+01 4.400000000000000022e-01
1.820804966644973177e+01 7.581005429917539118e+00 7.662512789818228498e+01 3.449999999999999734e-01
3.976821658362960932e+01 9.075401023641583720e+01 8.559756205186296540e+01 9.899999999999999911e-01
1.767842627616632001e+01 5.665016597530856757e+01 5.358804226498878620e+01 1.000000000000000000e+00
2.620945521714960336e+01 5.388342658414890707e+01 2.857248969628298596e+01 1.000000000000000000e+00
3.242457841574823618e+01 1.590253523772179278e+01 3.296561763290718261e+01 9.849999999999999867e-01
4.721453278093866857e+01 5.047891285087975177e+01 3.282264087073855308e+00 1.000000000000000000e+00
4.971680498703931050e+01 1.329206370697269790e+01 5.069086600196636994e+01 9.649999999999999689e-01
3.533428271478068439e+01 8.131759097594516561e+01 6.245557173045028776e+01 1.000000000000000000e+00
2.024393071167386893e+01 2.414584428530824312e+01 1.367903658336724959e+01 1.000000000000000000e+00
3.411379964383962715e+01 9.795673204446583782e+01 4.539768442111602553e+01 1.000000000000000000e+00
5.732363621556127242e+01 8.140275163521688739e+01 4.016248623427716069e+01 1.000000000000000000e+00
6.577519398110467819e+00 6.728147871349358411e+01 8.645909426686520760e+01 9.699999999999999734e-01
3.734706722568842707e+01 9.022627980548890037e+00 5.445890367441080571e+00 1.000000000000000000e+00
2.069421229468539281e+01 7.288932644433742780e+00 3.428560223443663801e+01 8.449999999999999734e-01
2.122485260381976246e+01 2.358751145461820897e+01 8.185885544694488658e+01 5.849999999999999645e-01
4.878575408140301306e+01 9.440049411489050613e+01 7.312862521446345454e+01 1.000000000000000000e+00
5.374594758386070481e+01 9.201340138963765014e+01 3.728502554300284544e+01 1.000000000000000000e+00
4.788378598859587498e+01 2.199214724083958572e+00 8.359773477754131932e+01 5.150000000000000133e-01
2.297613093912780613e+01 8.941339874926588038e+01 8.415200932497924668e+00 2.999999999999999889e-02
3.330482689050308664e+01 9.887040009712619337e+01 4.145210227514021284e+01 1.000000000000000000e+00
