#                      B                        I                        T                        M
9.104818979049628069e+01 2.047478352580918681e+01 4.627821446858406489e+02 3.350000000000000200e-01
7.159090628462044492e+01 4.481437268615749048e+01 2.676377791688706793e+02 7.049999999999999600e-01
1.364235634845458378e+01 7.512506184585882352e+01 4.672870978714777834e+02 2.999999999999999889e-02
1.836984995319102154e+01 2.051575715394949384e+01 3.147986686366339768e+02 7.499999999999999722e-02
6.633893164348023674e+00 3.779442151285375928e+01 1.375445418942128981e+02 8.249999999999999556e-01
7.481579013653583843e+01 5.230357463233013249e+01 3.623889917813094144e+02 5.649999999999999467e-01
8.672407784754221893e+01 4.406720296311773666e+01 2.631565588046668154e+02 7.800000000000000266e-01
6.529507302263888846e+01 5.213722259465495057e+01 4.976560778420887345e+02 2.650000000000000133e-01
4.861696176373982325e+00 6.846309967392549822e+01 6.577298909624659018e+01 1.000000000000000000e+00
4.267988178184795345e+01 8.229085756713939759e+01 4.116673305809939052e+02 5.250000000000000222e-01
9.310777712840928189e+01 8.692385704517336364e+01 1.976263689679400386e+02 9.949999999999999956e-01
5.969875557344384021e+01 8.456042174258024602e+01 2.355798264742046513e+02 9.599999999999999645e-01
6.540479032736797649e+01 9.792083158891411188e+01 3.033394781205931849e+02 9.799999999999999822e-01
8.052556825216991854e+01 9.236730641790312291e+01 4.629356188145262081e+02 7.600000000000000089e-01
2.194719189089774147e+01 7.042696568087187359e+01 3.750842261888649318e+02 4.450000000000000067e-01
8.490685747667362193e+01 5.610950664663548793e+01 3.829873460445852515e+02 4.849999999999999867e-01
5.781768712750068318e+01 7.939559756747334518e+01 2.297981655742398175e+02 9.849999999999999867e-01
6.358643948771474896e+01 2.498282109091714176e+01 1.231752540919887906e+02 9.549999999999999600e-01
4.200132473115516518e+01 6.211653165107892960e+01 3.442049234335975143e+02 5.300000000000000266e-01
2.066298903405225929e+00 5.428117191888798487e+01 4.139916969723714146e+01 1.000000000000000000e+00
8.239975222145503153e+01 3.673040784027828920e+01 4.715327824938808590e+02 3.400000000000000244e-01
9.931808380732935859e+01 2.475525198728360010e+01 3.781496761340719104e+02 3.699999999999999956e-01
5.052278949229926042e+01 3.380827887139993493e+01 5.091756971210492111e+01 1.000000000000000000e+00
3.473296614661973081e+01 2.672811218153751156e+01 4.267478078025735613e+02 5.999999999999999778e-02
2.431096655813105656e+01 2.932055574082167482e+01 2.994225959908355890e+02 1.250000000000000000e-01
5.415257822104450725e+00 6.515604170935313277e+01 1.597782295259894454e+02 9.949999999999999956e-01
1.086341660819233823e+01 8.314515121515709950e+01 1.539777330370914683e+02 9.949999999999999956e-01
3.146793287926205096e+01 4.833331693977515897e+01 3.116553995026513348e+02 3.499999999999999778e-01
8.819470180807444137e+01 7.061923945810079317e+01 4.529181508994632850e+02 4.749999999999999778e-01
8.801677684162255844e+01 1.613099073248110926e+01 2.062213202254846465e+02 5.749999999999999556e-01
9.494551068977050079e+01 3.412290270201225439e+00 8.435618417422136872e+01 8.900000000000000133e-01
5.328852773953849464e+01 7.454569063346148994e+01 4.923534846511233241e+02 3.699999999999999956e-01
7.837751343710699814e+01 7.713945900899638275e+01 2.635192426729687440e+02 9.399999999999999467e-01
9.360220305789754036e+01 8.081366113326912171e+01 3.877986223978003295e+02 8.900000000000000133e-01
6.612714568313755592e+01 8.785344672056002935e+01 3.348211823008183501e+02 8.950000000000000178e-01
2.533774342162162441e+01 8.355699929545207283e+01 4.865036150234203092e+02 1.449999999999999900e-01
4.922417382439691380e+01 1.111060583635978105e+01 1.229805277211953012e+02 6.800000000000000488e-01
5.747293999978936085e+00 3.149261872593585565e+01 1.431221671967546740e+02 4.699999999999999734e-01
5.623297886073787311e+01 9.139317563957956736e+01 2.635489203435867012e+02 9.799999999999999822e-01
6.568936769258723984e+01 1.202950720059087075e+01 4.624145809134631691e+02 1.499999999999999944e-01
5.779862909299702523e+01 8.135058121852867430e+01 1.588724176357891338e+01 1.000000000000000000e+00
2.282209780869285964e+01 3.983213275540177278e+01 6.381200148051851784e+01 1.000000000000000000e+00
8.287575144692300455e+01 1.249743922332000068e+01 3.903510144304642608e+02 2.999999999999999889e-01
8.784629962827196437e+01 1.753078553349365620e+01 1.471311907597541904e+02 8.349999999999999645e-01
1.428497678393580372e+01 5.253922284675525134e+00 1.154449604772462408e+02 1.499999999999999944e-01
9.826711652079961823e+01 6.998426475657488766e+01 4.801488941354994608e+02 5.999999999999999778e-01
5.763781401244614244e+00 1.656131260705669206e+01 1.935837460030206216e+02 3.500000000000000333e-02
8.506548481859046262e+01 9.887502578077011606e+01 4.469065236342673870e+02 7.650000000000000133e-01
4.713657537207311066e+00 3.089967419570967877e+00 4.736432467463893659e+02 1.000000000000000021e-02
6.942893209280823896e+01 5.915273894787560494e-01 2.444009128566335676e+00 1.000000000000000000e+00
1.786481953008885171e+01 1.279475161454087129e+01 3.181184113436891039e+02 1.849999999999999978e-01
5.323293807758147267e+01 8.100179106996128553e+01 1.119104255108833286e+02 1.000000000000000000e+00
8.559318366065841133e+01 2.586868657067853405e+01 4.986649125116994128e+02 1.350000000000000089e-01
3.579463766074084674e+00 5.204413862299678328e+01 3.319715219576815457e+02 2.000000000000000042e-02
5.035644846551434739e+00 8.276581688859906194e+01 4.268572859484721675e+02 1.499999999999999944e-02
9.360828489861745538e+00 4.429818206264494052e+01 2.340036894559301572e+01 1.000000000000000000e+00
9.651014017645586307e+01 2.257329138338907626e+01 4.136910183145128030e+02 2.949999999999999845e-01
5.686883637675651215e+01 4.504845845865304454e+00 3.748875855275025515e+02 1.749999999999999889e-01
4.761637313622018297e+01 6.898146443548711204e+01 4.775553399791665470e+02 4.000000000000000222e-01
2.946983874244152446e+01 8.134644566446488056e+01 2.795214169505104564e+02 9.350000000000000533e-01
1.825013719977950188e+01 8.053087553954384248e+00 4.492420798385828675e+02 5.000000000000000278e-02
2.763754608042307837e+01 3.432954894554623593e+01 3.603819347680962437e+01 1.000000000000000000e+00
7.372498831906142414e-01 8.266644436778005911e+01 3.946234385609451465e+02 7.499999999999999722e-02
3.547331025561405227e+00 8.697041942837115869e+01 2.078123657619046298e+02 9.949999999999999956e-01
6.544281084957626149e+01 2.212951267054054938e+01 4.577099079436595730e+02 2.000000000000000111e-01
5.950684136708233041e+00 1.706810090875926278e+01 3.774912119923241676e+02 5.000000000000000104e-03
5.054985849550207888e+01 6.733452738989583963e+01 1.955397630519915992e+02 9.799999999999999822e-01
8.616794118601497132e+01 2.265622754397762151e+01 4.576211552687786934e+02 2.099999999999999922e-01
5.801910600475537194e+00 4.624191054011780011e+01 7.039963335756328888e+01 1.000000000000000000e+00
9.586245254937588811e+01 7.773582967022086621e+01 6.128168873684904838e+01 1.000000000000000000e+00
3.036338318730767583e+01 2.336528696781370229e+01 2.474931575263821060e+01 1.000000000000000000e+00
2.306082057231522242e+01 2.289470194412946569e+01 3.248569601209583197e+02 1.300000000000000044e-01
2.318439223351332146e+01 8.088192937847415465e+01 1.856642471915506576e+01 1.000000000000000000e+00
1.219083317470062866e+01 9.964458232506957813e+01 1.482533487300609636e+02 1.000000000000000000e+00
8.708275483255728489e+01 8.004565967002599791e+01 3.273946022826289095e+02 9.050000000000000266e-01
9.476246034478506886e+00 7.025447239604963556e+01 1.002722543388466647e+02 1.000000000000000000e+00
