#                      B                        I                        T                        M
7.093143588599076566e+01 8.341252133563372695e+00 3.544541310830692282e+01 1.000000000000000000e+00
5.630916958484990431e+01 9.025238841961329683e+01 3.621386516985847948e+02 9.000000000000000222e-01
6.853314108207558775e+01 2.429983867906267392e+01 2.821896427520870816e+02 4.400000000000000022e-01
9.435601624921929442e+01 8.001431657254542529e+01 2.082176861076583236e+02 9.949999999999999956e-01
7.748053431881928077e+01 5.591728142772287669e+01 2.560292049648177226e+01 1.000000000000000000e+00
4.916893153714556775e+01 8.725978987922877650e+01 2.276122437980461655e+00 1.000000000000000000e+00
9.502233585340815125e+01 1.828639745148596774e+01 1.781800242246059724e+02 7.399999999999999911e-01
4.595191038415512708e+01 4.695077645335837957e+01 1.090788290409114438e+02 9.899999999999999911e-01
7.766237242228172022e+01 3.347951449222134102e+01 1.870930674331094110e+02 8.449999999999999734e-01
6.650973198249465668e+01 9.135738416223213676e+01 1.791526423021973073e+02 1.000000000000000000e+00
5.724573431301325144e+01 8.806517255382865983e+01 2.204105368231838611e+02 9.899999999999999911e-01
5.712429024712003667e+01 3.550765628472305480e+01 3.730125655142626329e+02 3.400000000000000244e-01
2.801846864347110966e+01 9.797234086862712843e+01 1.239008561911940092e+02 1.000000000000000000e+00
8.506797060734731986e+01 4.329830014212532063e+01 1.071562328341015018e+02 9.949999999999999956e-01
2.848701624105399333e+01 5.159610344400525150e+01 2.899872362114600719e+02 2.149999999999999967e-01
9.451924614325160690e+01 3.878959778351919141e+01 3.106724210920062887e+02 6.049999999999999822e-01
8.128760719877628560e+01 1.295509492671396856e+01 3.290795010611374778e+02 2.750000000000000222e-01
5.755450654834262991e+01 1.873874705270036145e+01 1.180848118702312490e+02 8.499999999999999778e-01
8.069832978119799805e+01 7.646285767167989889e+01 1.588279533609795635e+02 1.000000000000000000e+00
3.185650135569844110e+01 1.845520864739830813e+01 2.484257565230414855e+02 2.099999999999999922e-01
5.211708158441656025e+01 3.121053389520893973e+01 8.522491360163462559e+01 9.899999999999999911e-01
9.472054627165967133e+01 6.959429254452209079e+01 1.887706962991957766e+02 1.000000000000000000e+00
3.438847319256286994e+01 1.472594438018562357e+01 2.939163001061934892e+02 8.500000000000000611e-02
3.684577799713478896e+01 2.894722023139850364e+01 4.148410301241296452e+02 1.000000000000000056e-01
9.393089657086545685e+01 5.635274955432518595e+01 3.992112217101507667e+02 5.600000000000000533e-01
2.388950145218571208e+01 6.385122701175589555e+00 1.453866256127314500e+02 1.749999999999999889e-01
1.172910994129495066e+01 9.456407076263506895e+01 2.882898476695366412e+02 9.449999999999999512e-01
8.951762024680031971e+01 7.171187738216949015e+01 1.915217510378176939e+02 9.949999999999999956e-01
3.784668366526859984e+01 7.118069362269315548e+01 1.580592305469278358e+02 1.000000000000000000e+00
3.462158304616508531e+00 7.642492474971336947e+01 2.927377828561394608e+02 7.299999999999999822e-01
9.395060734719206152e+01 8.879180683119813011e+01 1.607300285294927562e+02 1.000000000000000000e+00
6.101150216135747684e+01 4.158727739236842780e+01 4.145054678840552356e+02 3.150000000000000022e-01
2.496123555207002198e+01 3.998270804418416446e+01 3.714168538635683490e+02 2.200000000000000011e-01
3.653736171989248049e+01 2.183999638213556693e+01 1.382133525418051931e+02 7.500000000000000000e-01
5.834027944199681315e+01 9.340454092529481045e+01 1.698720855715442895e+02 1.000000000000000000e+00
9.012519869589976906e+01 1.366408799932051465e+01 2.510917367171201420e+02 4.949999999999999956e-01
3.357318839057853666e+00 1.119817303401143249e+01 1.366920707555201489e+02 6.500000000000000222e-02
7.646173513953181100e+01 2.232109571908038959e+01 1.095724866023041955e+02 9.100000000000000311e-01
8.243240631382118977e+01 1.550551551177774456e+01 4.053664113780553180e+02 3.099999999999999978e-01
9.152873393751113440e+01 3.490312746824943702e+01 2.965967462761096840e+01 1.000000000000000000e+00
7.569559695360909757e+01 7.180235593559550011e+01 4.574609004069037610e+02 4.949999999999999956e-01
1.733416252124661128e+01 9.728913756498440080e+01 4.071600354091916643e+02 6.700000000000000400e-01
3.066912151294047817e+01 6.942995397446873085e+01 1.632777738670268945e+02 9.949999999999999956e-01
1.653344122530815241e+01 4.714677216977638352e+01 2.918777749977425628e+01 1.000000000000000000e+00
9.551076326445397058e+00 7.063069172810649832e+01 3.056184837097808895e+02 5.949999999999999734e-01
2.810332376697749623e+01 8.270087410489270496e+01 1.945719069694831660e+01 1.000000000000000000e+00
4.865831768978949867e+01 9.536300119256915764e+01 8.754694721232152688e+01 1.000000000000000000e+00
7.657928169091397308e+01 5.888436296729830133e+01 1.101356823550116246e+02 1.000000000000000000e+00
5.201231207519696653e+01 5.717548982173165939e+01 1.932872958945574737e+01 1.000000000000000000e+00
2.554289857190840962e+01 5.854156741354006499e+01 3.749494181133184156e+01 1.000000000000000000e+00
6.554749989518698783e+01 8.213951675889038029e+01 4.234518307333314624e+01 1.000000000000000000e+00
8.735701510854526930e+01 4.426530189058084375e+01 3.578607242124707000e+02 4.650000000000000244e-01
5.007179292353021083e+01 3.185257410420945234e+00 4.246480823272726184e+02 1.150000000000000050e-01
3.625447794707535820e+01 3.551629884098436207e+01 4.523307757314345281e+02 8.999999999999999667e-02
8.937628142053571878e+01 1.410858225740345517e+01 8.845136004642296257e+01 9.599999999999999645e-01
4.247563283625538588e+00 7.949852291240068780e+01 1.907589986320824096e+02 9.899999999999999911e-01
4.505482674611035776e+01 5.033773206403759559e+01 4.656575855937200572e+02 1.199999999999999956e-01
9.033096787102319070e+01 2.184238989672164166e+01 9.506246516532399937e+01 9.849999999999999867e-01
5.914400490266905308e+01 3.157702543057034461e+01 3.506304657646590499e+02 3.300000000000000155e-01
5.212517999708418159e+01 2.699645235657646936e+01 2.133710153586802107e+02 5.749999999999999556e-01
9.586422735184764576e+01 5.844960731229747353e+00 2.541560942460371848e+02 3.800000000000000044e-01
2.298616532752325270e+01 3.357713332176408016e+01 4.465770402067194027e+02 5.999999999999999778e-02
5.019813722405215373e+01 1.163625871324973104e+01 3.086068778566397555e+02 2.000000000000000111e-01
1.316328114800828075e+01 1.173399756720878884e+01 2.405873404390239330e+02 1.250000000000000000e-01
8.037126220952750089e+01 1.458799081929477381e+01 2.491992104555127980e+02 3.850000000000000089e-01
9.867836828717688036e+01 7.840528189343812926e+01 4.888244288957098433e+02 6.700000000000000400e-01
5.871550964941326356e+01 8.429342776672797299e+01 2.236247015017304989e+02 9.849999999999999867e-01
4.038581773292325749e+01 7.660302502336823238e+01 1.484057829207201280e+02 1.000000000000000000e+00
3.438756212828644721e+01 9.259398639501955586e+01 5.829677379515641178e+01 1.000000000000000000e+00
6.905171567884764272e+00 2.480948797169929776e+01 5.061572764440427363e+01 1.000000000000000000e+00
8.401812296161149618e+01 6.713717462063581820e+01 3.134670162752721581e+02 8.199999999999999512e-01
5.429251117511355318e+01 3.805536072620812149e+01 1.406092821027430659e+02 9.350000000000000533e-01
7.526920943762097238e+01 1.112895316405526103e+01 2.792859076306741599e+02 2.899999999999999800e-01
2.863518200677856385e+01 9.181704634433604895e+01 4.720478330973779748e+02 3.400000000000000244e-01
1.629739280168109872e-01 2.706500670291795529e+01 4.443587049235226232e+02 4.499999999999999833e-02
8.403565313465607289e+01 6.758583054380302713e+01 3.509288934261739996e+02 8.399999999999999689e-01
8.412215578596199350e+01 2.263322852318692924e+01 2.657193931899844301e+02 5.500000000000000444e-01
6.847333461720671721e+01 9.614390607700123326e+01 3.671521063041666366e+02 9.100000000000000311e-01
8.269916481437326183e+01 7.630252243207254992e+01 8.934772369861912011e+01 1.000000000000000000e+00
2.383200806979492370e+01 7.426004891046187595e+01 4.559593706032444516e+02 2.999999999999999889e-01
3.073379948482509860e+01 7.120863384109286187e+01 1.376919457588812179e+02 1.000000000000000000e+00
6.129603796298123086e+01 9.111669613950110147e+01 1.763682141112012687e+02 1.000000000000000000e+00
4.029858316127950957e+01 9.392220037381804332e+01 4.609433390647908482e+02 5.849999999999999645e-01
9.358703770236363084e+01 6.732646112390686710e+01 3.513343880183227839e+02 7.650000000000000133e-01
7.557251022428070542e+01 2.422326159257335121e+01 3.357566961744532819e+02 3.449999999999999734e-01
9.441379761373133306e+01 4.772526165430810607e+01 9.143121175288638369e+01 1.000000000000000000e+00
3.563787218759981101e+01 4.179244706885189231e+01 2.940370985760008580e+02 3.099999999999999978e-01
1.499384341406778276e+01 3.110212983861030978e+01 2.318074466279143167e+02 9.500000000000000111e-02
3.007583962618703310e+01 5.367502119514535508e+01 3.123096413584194124e+02 3.950000000000000178e-01
3.088058279493068881e+00 2.496197717077286882e+01 1.873016518509124921e+02 1.100000000000000006e-01
4.153342008599961588e+01 6.975508837812479612e+01 2.183542556026012562e+02 9.549999999999999600e-01
7.992359741536296269e+01 6.287296014718406667e+01 2.277045610260134367e+02 9.549999999999999600e-01
9.199115453567395662e+01 4.624977671285995484e+01 4.297755089240574762e+02 4.099999999999999756e-01
7.957557721096065961e+01 7.070263704801999438e+01 2.994381684895770377e+02 9.250000000000000444e-01
8.938115276709392276e+01 8.235676374296744484e+01 9.951874912245403948e+01 1.000000000000000000e+00
9.594729923723578224e+01 2.860649152920970550e+00 1.788411858957825871e+02 5.150000000000000133e-01
2.795492067199886321e+01 2.824569426067164102e+01 3.547973276449109790e+02 2.200000000000000011e-01
3.238251103933382069e+01 1.764131684910009312e+01 5.063584333287411710e+01 9.899999999999999911e-01
7.997754569631405275e+01 7.892058714666742958e+01 4.110569409550180353e+01 1.000000000000000000e+00
5.219909733720974288e+01 8.873545079443276506e+01 6.320336667548087917e+01 1.000000000000000000e+00
3.079953255917466493e+01 1.267429781308621273e+00 4.488088039370421711e+02 4.499999999999999833e-02
